"label","n","parent","id"
"Cyprus",49,"Thriller","Thriller  -  Cyprus"
"Cyprus",5,"War","War  -  Cyprus"
"Cyprus",2,"Western","Western  -  Cyprus"
"Czech Republic",191,"Action","Action  -  Czech Republic"
"Czech Republic",2,"Adult","Adult  -  Czech Republic"
"Czech Republic",146,"Adventure","Adventure  -  Czech Republic"
"Czech Republic",86,"Animation","Animation  -  Czech Republic"
"Czech Republic",18,"Biography","Biography  -  Czech Republic"
"Czech Republic",187,"Comedy","Comedy  -  Czech Republic"
"Czech Republic",130,"Crime","Crime  -  Czech Republic"
"Czech Republic",41,"Documentary","Documentary  -  Czech Republic"
"Czech Republic",305,"Drama","Drama  -  Czech Republic"
"Czech Republic",23,"Family","Family  -  Czech Republic"
"Czech Republic",48,"Fantasy","Fantasy  -  Czech Republic"
"Czech Republic",19,"Game Show","Game Show  -  Czech Republic"
"Czech Republic",3,"History","History  -  Czech Republic"
"Czech Republic",26,"Horror","Horror  -  Czech Republic"
"Czech Republic",4,"Music","Music  -  Czech Republic"
"Czech Republic",50,"Mystery","Mystery  -  Czech Republic"
"Czech Republic",23,"Reality TV","Reality TV  -  Czech Republic"
"Czech Republic",81,"Romance","Romance  -  Czech Republic"
"Czech Republic",13,"Sci Fi","Sci Fi  -  Czech Republic"
"Czech Republic",3,"Short","Short  -  Czech Republic"
"Czech Republic",12,"Sport","Sport  -  Czech Republic"
"Czech Republic",45,"Thriller","Thriller  -  Czech Republic"
"Czech Republic",3,"War","War  -  Czech Republic"
"Denmark",184,"Action","Action  -  Denmark"
"Denmark",2,"Adult","Adult  -  Denmark"
"Denmark",118,"Adventure","Adventure  -  Denmark"
"Denmark",57,"Animation","Animation  -  Denmark"
"Denmark",17,"Biography","Biography  -  Denmark"
"Denmark",178,"Comedy","Comedy  -  Denmark"
"Denmark",148,"Crime","Crime  -  Denmark"
"Denmark",32,"Documentary","Documentary  -  Denmark"
"Denmark",328,"Drama","Drama  -  Denmark"
"Denmark",18,"Family","Family  -  Denmark"
"Denmark",42,"Fantasy","Fantasy  -  Denmark"
"Denmark",15,"Game Show","Game Show  -  Denmark"
"Denmark",5,"History","History  -  Denmark"
"Denmark",21,"Horror","Horror  -  Denmark"
"Denmark",5,"Music","Music  -  Denmark"
"Denmark",1,"Musical","Musical  -  Denmark"
"Denmark",51,"Mystery","Mystery  -  Denmark"
"Denmark",29,"Reality TV","Reality TV  -  Denmark"
"Denmark",88,"Romance","Romance  -  Denmark"
"Denmark",18,"Sci Fi","Sci Fi  -  Denmark"
"Denmark",3,"Short","Short  -  Denmark"
"Denmark",11,"Sport","Sport  -  Denmark"
"Denmark",59,"Thriller","Thriller  -  Denmark"
"Denmark",9,"War","War  -  Denmark"
"Denmark",1,"Western","Western  -  Denmark"
"Dominican Republic",171,"Action","Action  -  Dominican Republic"
"Dominican Republic",2,"Adult","Adult  -  Dominican Republic"
"Dominican Republic",108,"Adventure","Adventure  -  Dominican Republic"
"Dominican Republic",53,"Animation","Animation  -  Dominican Republic"
"Dominican Republic",8,"Biography","Biography  -  Dominican Republic"
"Dominican Republic",157,"Comedy","Comedy  -  Dominican Republic"
"Dominican Republic",117,"Crime","Crime  -  Dominican Republic"
"Dominican Republic",19,"Documentary","Documentary  -  Dominican Republic"
"Dominican Republic",294,"Drama","Drama  -  Dominican Republic"
"Dominican Republic",14,"Family","Family  -  Dominican Republic"
"Dominican Republic",35,"Fantasy","Fantasy  -  Dominican Republic"
"Dominican Republic",2,"Game Show","Game Show  -  Dominican Republic"
"Dominican Republic",24,"Horror","Horror  -  Dominican Republic"
"Dominican Republic",34,"Music","Music  -  Dominican Republic"
"Dominican Republic",1,"Musical","Musical  -  Dominican Republic"
"Dominican Republic",47,"Mystery","Mystery  -  Dominican Republic"
"Dominican Republic",3,"Reality TV","Reality TV  -  Dominican Republic"
"Dominican Republic",88,"Romance","Romance  -  Dominican Republic"
"Dominican Republic",17,"Sci Fi","Sci Fi  -  Dominican Republic"
"Dominican Republic",2,"Short","Short  -  Dominican Republic"
"Dominican Republic",6,"Sport","Sport  -  Dominican Republic"
"Dominican Republic",71,"Thriller","Thriller  -  Dominican Republic"
"Dominican Republic",2,"War","War  -  Dominican Republic"
"Ecuador",147,"Action","Action  -  Ecuador"
"Ecuador",2,"Adult","Adult  -  Ecuador"
"Ecuador",120,"Adventure","Adventure  -  Ecuador"
"Ecuador",71,"Animation","Animation  -  Ecuador"
"Ecuador",5,"Biography","Biography  -  Ecuador"
"Ecuador",207,"Comedy","Comedy  -  Ecuador"
"Ecuador",94,"Crime","Crime  -  Ecuador"
"Ecuador",14,"Documentary","Documentary  -  Ecuador"
"Ecuador",283,"Drama","Drama  -  Ecuador"
"Ecuador",13,"Family","Family  -  Ecuador"
"Ecuador",25,"Fantasy","Fantasy  -  Ecuador"
"Ecuador",23,"Horror","Horror  -  Ecuador"
"Ecuador",33,"Music","Music  -  Ecuador"
"Ecuador",1,"Musical","Musical  -  Ecuador"
"Ecuador",39,"Mystery","Mystery  -  Ecuador"
"Ecuador",3,"Reality TV","Reality TV  -  Ecuador"
"Ecuador",102,"Romance","Romance  -  Ecuador"
"Ecuador",16,"Sci Fi","Sci Fi  -  Ecuador"
"Ecuador",6,"Sport","Sport  -  Ecuador"
"Ecuador",62,"Thriller","Thriller  -  Ecuador"
"Ecuador",2,"War","War  -  Ecuador"
"Egypt",184,"Action","Action  -  Egypt"
"Egypt",3,"Adult","Adult  -  Egypt"
"Egypt",104,"Adventure","Adventure  -  Egypt"
"Egypt",55,"Animation","Animation  -  Egypt"
"Egypt",17,"Biography","Biography  -  Egypt"
"Egypt",189,"Comedy","Comedy  -  Egypt"
"Egypt",117,"Crime","Crime  -  Egypt"
"Egypt",26,"Documentary","Documentary  -  Egypt"
"Egypt",338,"Drama","Drama  -  Egypt"
"Egypt",15,"Family","Family  -  Egypt"
"Egypt",34,"Fantasy","Fantasy  -  Egypt"
"Egypt",7,"Game Show","Game Show  -  Egypt"
"Egypt",5,"History","History  -  Egypt"
"Egypt",27,"Horror","Horror  -  Egypt"
"Egypt",4,"Music","Music  -  Egypt"
"Egypt",41,"Mystery","Mystery  -  Egypt"
"Egypt",9,"Reality TV","Reality TV  -  Egypt"
"Egypt",87,"Romance","Romance  -  Egypt"
"Egypt",26,"Sci Fi","Sci Fi  -  Egypt"
"Egypt",19,"Short","Short  -  Egypt"
"Egypt",4,"Sport","Sport  -  Egypt"
"Egypt",63,"Thriller","Thriller  -  Egypt"
"Egypt",3,"War","War  -  Egypt"
"El Salvador",139,"Action","Action  -  El Salvador"
"El Salvador",2,"Adult","Adult  -  El Salvador"
"El Salvador",107,"Adventure","Adventure  -  El Salvador"
"El Salvador",65,"Animation","Animation  -  El Salvador"
"El Salvador",4,"Biography","Biography  -  El Salvador"
"El Salvador",193,"Comedy","Comedy  -  El Salvador"
"El Salvador",110,"Crime","Crime  -  El Salvador"
"El Salvador",12,"Documentary","Documentary  -  El Salvador"
"El Salvador",301,"Drama","Drama  -  El Salvador"
"El Salvador",13,"Family","Family  -  El Salvador"
"El Salvador",22,"Fantasy","Fantasy  -  El Salvador"
"El Salvador",19,"Horror","Horror  -  El Salvador"
"El Salvador",32,"Music","Music  -  El Salvador"
"El Salvador",39,"Mystery","Mystery  -  El Salvador"
"El Salvador",2,"Reality TV","Reality TV  -  El Salvador"
"El Salvador",110,"Romance","Romance  -  El Salvador"
"El Salvador",15,"Sci Fi","Sci Fi  -  El Salvador"
"El Salvador",7,"Sport","Sport  -  El Salvador"
"El Salvador",60,"Thriller","Thriller  -  El Salvador"
"El Salvador",2,"War","War  -  El Salvador"
"Estonia",181,"Action","Action  -  Estonia"
"Estonia",3,"Adult","Adult  -  Estonia"
