"parents","n","labels","id"
"Colombia",2,"Adult","Colombia  -  Adult"
"Colombia",109,"Adventure","Colombia  -  Adventure"
"Colombia",64,"Animation","Colombia  -  Animation"
"Colombia",8,"Biography","Colombia  -  Biography"
"Colombia",198,"Comedy","Colombia  -  Comedy"
"Colombia",115,"Crime","Colombia  -  Crime"
"Colombia",37,"Documentary","Colombia  -  Documentary"
"Colombia",297,"Drama","Colombia  -  Drama"
"Colombia",14,"Family","Colombia  -  Family"
"Colombia",26,"Fantasy","Colombia  -  Fantasy"
"Colombia",22,"Horror","Colombia  -  Horror"
"Colombia",20,"Music","Colombia  -  Music"
"Colombia",5,"Musical","Colombia  -  Musical"
"Colombia",49,"Mystery","Colombia  -  Mystery"
"Colombia",3,"Reality TV","Colombia  -  Reality TV"
"Colombia",111,"Romance","Colombia  -  Romance"
"Colombia",14,"Sci Fi","Colombia  -  Sci Fi"
"Colombia",2,"Short","Colombia  -  Short"
"Colombia",5,"Sport","Colombia  -  Sport"
"Colombia",73,"Thriller","Colombia  -  Thriller"
"Colombia",2,"War","Colombia  -  War"
"Costa Rica",123,"Action","Costa Rica  -  Action"
"Costa Rica",2,"Adult","Costa Rica  -  Adult"
"Costa Rica",97,"Adventure","Costa Rica  -  Adventure"
"Costa Rica",63,"Animation","Costa Rica  -  Animation"
"Costa Rica",8,"Biography","Costa Rica  -  Biography"
"Costa Rica",204,"Comedy","Costa Rica  -  Comedy"
"Costa Rica",104,"Crime","Costa Rica  -  Crime"
"Costa Rica",20,"Documentary","Costa Rica  -  Documentary"
"Costa Rica",328,"Drama","Costa Rica  -  Drama"
"Costa Rica",16,"Family","Costa Rica  -  Family"
"Costa Rica",21,"Fantasy","Costa Rica  -  Fantasy"
"Costa Rica",1,"Game Show","Costa Rica  -  Game Show"
"Costa Rica",24,"Horror","Costa Rica  -  Horror"
"Costa Rica",35,"Music","Costa Rica  -  Music"
"Costa Rica",1,"Musical","Costa Rica  -  Musical"
"Costa Rica",44,"Mystery","Costa Rica  -  Mystery"
"Costa Rica",4,"Reality TV","Costa Rica  -  Reality TV"
"Costa Rica",135,"Romance","Costa Rica  -  Romance"
"Costa Rica",14,"Sci Fi","Costa Rica  -  Sci Fi"
"Costa Rica",2,"Short","Costa Rica  -  Short"
"Costa Rica",7,"Sport","Costa Rica  -  Sport"
"Costa Rica",69,"Thriller","Costa Rica  -  Thriller"
"Costa Rica",2,"War","Costa Rica  -  War"
"Croatia",165,"Action","Croatia  -  Action"
"Croatia",3,"Adult","Croatia  -  Adult"
"Croatia",112,"Adventure","Croatia  -  Adventure"
"Croatia",54,"Animation","Croatia  -  Animation"
"Croatia",11,"Biography","Croatia  -  Biography"
"Croatia",209,"Comedy","Croatia  -  Comedy"
"Croatia",137,"Crime","Croatia  -  Crime"
"Croatia",38,"Documentary","Croatia  -  Documentary"
"Croatia",305,"Drama","Croatia  -  Drama"
"Croatia",22,"Family","Croatia  -  Family"
"Croatia",28,"Fantasy","Croatia  -  Fantasy"
"Croatia",15,"Game Show","Croatia  -  Game Show"
"Croatia",5,"History","Croatia  -  History"
"Croatia",20,"Horror","Croatia  -  Horror"
"Croatia",9,"Music","Croatia  -  Music"
"Croatia",1,"Musical","Croatia  -  Musical"
"Croatia",46,"Mystery","Croatia  -  Mystery"
"Croatia",19,"Reality TV","Croatia  -  Reality TV"
"Croatia",99,"Romance","Croatia  -  Romance"
"Croatia",14,"Sci Fi","Croatia  -  Sci Fi"
"Croatia",4,"Short","Croatia  -  Short"
"Croatia",13,"Sport","Croatia  -  Sport"
"Croatia",59,"Thriller","Croatia  -  Thriller"
